smiles,val,prop
[*]CCCCCCN(C)C(=O)CCC(=O)N([*])C,336,Tm
[*]CCCCCCCCC(=O)OC([*])=O,354,Tm
[*]Oc1ccc(OCCCCCCCCCCCCOc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Cc5ccc(N6C(=O)c7ccc(C([*])=O)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,518,Tm
[*]COC(=O)CCCCCCCCC(=O)OCC(=O)NCCCCCCNC([*])=O,387,Tm
[*]OCc1ccc(COC(=O)c2ccc3cc(C([*])=O)ccc3c2)cc1,550.5,Tm
[*]OCCCCCCOC(=O)C([*])=O,347.5,SP
[*]COC(=O)SN1CCN(SC(=O)OCC([*])(C)C)CC1,335.5,SP
[*]Oc1ccc(C2(c3ccc(OS(=O)(=O)c4ccc(-c5ccc(S([*])(=O)=O)cc5)cc4)cc3)CCCCC2)cc1,538,SP
[*]Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3cccc(C([*])=O)c3)cc2)cc1,523,SP
[*]CC([*])(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,342,SP
[*]c1ccc(N(c2ccc(CCCC)cc2)c2ccc(-c3ccc4c(c3)c3cc([*])ccc3n4CCCCCCCC)cc2)cc1,713,Td
[*]c1ccc2c(c1)C(=O)N(c1ccc(OCCN(CCOc3ccc(N4C(=O)c5ccc(C([*])(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3ccccc3)cc1)C2=O,613,Td
[*]C(=O)c1ccc(-n2nc(-c3ccc(Sc4ccc(-c5nn(-c6ccc([*])cc6)c(=O)c6ccccc56)cc4)cc3)c3ccccc3c2=O)cc1,733,Td
[*]CC([*])(C)C(=O)Oc1cccc2cccnc12,523,Td
[*]Nc1ccc(C2(c3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc(Oc7ccc(N8C(=O)c9ccc(C([*])=O)cc9C8=O)cc7)c6)cc4)C5=O)cc3)c3ccccc3-c3ccccc32)cc1,765,Td
[*]Oc1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc(OC(=O)c3ccc4c(c3)Cc3cc(C([*])=O)ccc3-4)cc2)cc1,345.1,Tg
[*]CNc1ccc(S(=O)(=O)c2ccc(NCC(=O)c3ccc(Oc4ccc(C([*])=O)cc4)cc3)cc2)cc1,520,Tg
[*]c1cccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cccc(C([*])O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C)c4)C5=O)cc3C2=O)c1,492,Tg
[*]COc1ccc(OCC([*])O)cc1,333,Tg
[*]CC(C#N)(C#N)CC([*])c1ccc(OC(C)=O)cc1,423,Tg
[*]OCCCCOC(=O)C([*])=O,306,Tc
[*]CCCCCCCCC(=O)SCCCCCCSC([*])=O,358.6,Tc
[*]c1ccc(-c2ccc3c(c2)C(=O)N(CCCCCCCCCN2C(=O)c4ccc([*])cc4C2=O)C3=O)cc1,467,Tc
[*]c1cc(CCCCCC)c([*])[se]1,448,Tc
[*]CC(=O)OC([*])C,334,Tc